entry order,YEAR,MONTH,DAY,SITE,OBSERVER,BUDDY,SIDE,ZONE,TRANSECT,SWATH WIDTH,HEADING,DEPTH (m),DEPTH (ft),SEGMENT,CLASSCODE,COUNT,METERS sampled,SIZE,cntrl_a,notes,DATA ENTTRY PROBLEMS,ORG_TYPE
20d,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,1,2,,,30,20-30m,STYMON,2,10,,,,,invert
21,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,0-10m,DERIMB,3,10,,,,,invert
22,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,0-10m,HENLEV,6,10,,,,,invert
23,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,0-10m,EVATRO,2,10,,,,,invert
24,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,0-10m,CUCMIN,4,10,,,,,invert
25,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,0-10m,CERFOL,2,10,,,,,invert
26,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,0-10m,NUCLAM,2,10,,,,,invert
27,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,0-10m,STYMON,1,10,,,,,invert
28,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,0-10m,PELNOB,1,10,,,,,invert
29,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,0-10m,CRAARB,1,10,,,,,invert
30,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,10-20m,HENLEV,6,10,,,,,invert
31,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,10-20m,CRAGIG,2,10,,,,,invert
32,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,10-20m,DIOASP,5,10,,,,,invert
33,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,10-20m,PELNOB,1,10,,,,,invert
33a,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,10-20m,DERIMB,1,10,,,,,invert
33b,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,10-20m,SCYDEC,1,10,,,,,invert
33c,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,10-20m,CHITON,1,10,,,,,invert
33d,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,10-20m,NUCLAM,1,10,,,,,invert
34,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,20-30m,HENLEV,12,10,,,,,invert
35,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,20-30m,CUCMIN,3,10,,,,,invert
36,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,20-30m,BALNUB,2,10,,,,,invert
37,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,20-30m,DIOASP,3,10,,,,,invert
38,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,20-30m,CERFOL,2,10,,,,,invert
39,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,20-30m,NUCLAM,3,10,,,,,invert
40,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,20-30m,STYMON,5,10,,,,,invert
40a,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,20-30m,CRAGIG,2,10,,,,,invert
40b,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,20-30m,DERIMB,4,10,,,,,invert
41,2016,8,8,Destruction Island,Ole Shelton,Jameal Samhouri,2,10,2,2,,,29,20-30m,PELNOB,1,10,,,,,invert
42,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,0-10m,MACPYR,61,10,,,,,algae
43,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,0-10m,PTECAL,8,10,,,,,algae
44,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,0-10m,ALAMAR,6,10,,,,,algae
45,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,10-20m,MACPYR,15,10,,,,,algae
46,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,10-20m,NERLUE,7,10,,,,,algae
47,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,10-20m,PTECAL,3,10,,,,,algae
48,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,10-20m,SACGRO,7,10,,,,,algae
49,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,10-20m,DESSPP,2,10,,,,,algae
50,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,20-30m,MACPYR,3,10,,,,,algae
51,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,20-30m,NERLUE,4,10,,,,,algae
52,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,20-30m,PTECAL,5,10,,,,,algae
53,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,1,2,,,12,20-30m,SACGRO,10,10,,,,,algae
54,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,2,2,,,14,0-10m,MACPYR,58,10,,,,,algae
55,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,2,2,,,14,0-10m,PTECAL,18,10,,,,,algae
56,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,2,2,,,14,10-20m,PTECAL,21,10,,,,,algae
57,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,2,2,,,14,10-20m,ALAMAR,1,10,,,,,algae
58,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,2,2,,,14,10-20m,SACGRO,6,10,,,,,algae
59,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,2,2,,,14,20-30m,NERLUE,2,10,,,,,algae
60,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,2,2,,,14,20-30m,PTECAL,6,10,,,,,algae
61,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,2,2,,,14,20-30m,PLEGAR,4,10,,,,,algae
62,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,3,2,,,14,0-10m,NERLUE,1,10,,,,,algae
63,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,3,2,,,14,0-10m,PTECAL,28,10,,,,,algae
64,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,3,2,,,14,0-10m,LAMSET,1,10,,,,,algae
65,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,3,2,,,14,10-20m,PTECAL,31,10,,,,,algae
66,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,3,2,,,14,10-20m,LAMSET,10,10,,,,,algae
67,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,3,2,,,14,20-30m,NERLUE,6,10,,,,,algae
68,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,3,2,,,14,20-30m,PTECAL,31,10,,,,,algae
69,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,3,2,,,14,20-30m,PLEGAR,2,10,,,,,algae
70,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,1,5,3,2,,,14,20-30m,LAMSET,13,10,,,,,algae
71,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,1,2,,,12,0-10m,MACPYR,72,10,,,,,algae
72,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,1,2,,,12,0-10m,NERLUE,3,10,,,,,algae
73,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,1,2,,,12,0-10m,SACGRO,1,10,,,,,algae
74,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,1,2,,,12,10-20m,MACPYR,58,10,,,,,algae
75,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,1,2,,,12,10-20m,NERLUE,5,10,,,,,algae
76,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,1,2,,,12,10-20m,PTECAL,1,10,,,,,algae
77,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,1,2,,,12,10-20m,SACGRO,2,10,,,,,algae
78,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,1,2,,,12,20-30m,MACPYR,47,10,,,,,algae
79,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,1,2,,,12,20-30m,NERLUE,6,10,,,,,algae
80,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,1,2,,,12,20-30m,PTECAL,54,10,,,,,algae
81,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,1,2,,,12,20-30m,SACGRO,2,10,,,,,algae
82,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,2,2,,,15,0-10m,MACPYR,3,10,,,,,algae
83,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,2,2,,,15,0-10m,NERLUE,1,10,,,,,algae
84,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,2,2,,,15,0-10m,PTECAL,34,10,,,,,algae
85,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,2,2,,,15,10-20m,MACPYR,1,10,,,,,algae
86,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,2,2,,,15,10-20m,PTECAL,46,10,,,,,algae
87,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,2,2,,,15,10-20m,SACGRO,2,10,,,,,algae
88,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,2,2,,,15,20-30m,MACPYR,126,10,,,,,algae
89,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,2,2,,,15,20-30m,PTECAL,4,10,,,,,algae
90,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,0-10m,MACPYR,116,10,,,,,algae
91,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,0-10m,NERLUE,1,10,,,,,algae
92,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,0-10m,PTECAL,2,10,,,,,algae
93,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,0-10m,SACGRO,2,10,,,,,algae
94,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,10-20m,MACPYR,1,10,,,,,algae
95,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,10-20m,NERLUE,4,10,,,,,algae
96,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,10-20m,PTECAL,47,10,,,,,algae
97,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,10-20m,SACGRO,5,10,,,,,algae
98,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,20-30m,MACPYR,31,10,,,,,algae
99,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,20-30m,NERLUE,2,10,,,,,algae
100,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,20-30m,PTECAL,21,10,,,,,algae
101,2016,8,9,Cape Johnson,Ole Shelton,Jameal Samhouri,2,5,3,2,,,15,20-30m,SACGRO,4,10,,,,,algae
102,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,1,2,,,15,0-10m,PTECAL,31,10,,,,,algae
103,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,1,2,,,15,10-20m,NERLUE,2,10,,,,,algae
104,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,1,2,,,15,10-20m,PTECAL,30,4.3,,,,,algae
105,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,1,2,,,15,10-20m,LAMSET,6,10,,,,,algae
106,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,1,2,,,15,20-30m,MACPYR,16,10,,,,,algae
107,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,1,2,,,15,20-30m,NERLUE,9,10,,,,,algae
108,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,1,2,,,15,20-30m,PTECAL,41,10,,,,,algae
109,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,1,2,,,15,20-30m,LAMSET,21,10,,,,,algae
110,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,2,2,,,16,0-10m,MACPYR,4,10,,,,,algae
111,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,2,2,,,16,0-10m,PTECAL,39,10,,,,,algae
112,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,2,2,,,16,0-10m,LAMSET,15,10,,,,,algae
113,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,2,2,,,16,0-10m,PLEGAR,2,10,,,,,algae
114,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,2,2,,,16,10-20m,MACPYR,18,10,,,,,algae
115,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,2,2,,,16,10-20m,PTECAL,54,10,,,,,algae
116,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,2,2,,,16,10-20m,LAMSET,26,10,,,,,algae
117,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,2,2,,,16,20-30m,PTECAL,41,10,,,,,algae
118,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,2,2,,,16,20-30m,SACGRO,1,10,,,,,algae
119,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,5,2,2,,,16,20-30m,SACLAT,1,10,,,,,algae
120,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,4,2,,,27,0-10m,NERLUE,8,10,,,,,algae
121,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,4,2,,,27,0-10m,PTECAL,34,5.8,,,,,algae
122,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,4,2,,,27,0-10m,LAMSET,2,10,,,,,algae
123,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,4,2,,,27,0-10m,SACLAT,2,10,,,,,algae
124,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,4,2,,,27,10-20m,MACPYR,14,10,,,,,algae
125,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,4,2,,,27,10-20m,NERLUE,2,10,,,,,algae
126,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,4,2,,,27,10-20m,PTECAL,30,8.7,,,,,algae
127,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,4,2,,,27,10-20m,LAMSET,1,10,,,,,algae
128,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,4,2,,,27,10-20m,SACLAT,3,10,,,,,algae
129,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,4,2,,,27,20-30m,NERLUE,14,10,,,,,algae
130,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,4,2,,,27,20-30m,PTECAL,26,10,,,,,algae
131,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,0-10m,MACPYR,5,10,,,,,algae
132,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,0-10m,NERLUE,20,10,,,,,algae
133,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,0-10m,PTECAL,14,10,,,,,algae
134,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,0-10m,LAMSET,5,10,,,,,algae
135,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,10-20m,MACPYR,3,10,,,,,algae
136,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,10-20m,NERLUE,10,10,,,,,algae
137,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,10-20m,PTECAL,9,10,,,,,algae
138,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,10-20m,LAMSET,3,10,,,,,algae
139,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,10-20m,SACLAT,4,10,,,,,algae
140,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,20-30m,MACPYR,2,10,,,,,algae
141,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,20-30m,NERLUE,1,10,,,,,algae
142,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,20-30m,PTECAL,14,10,,,,,algae
143,2016,8,12,Neah Bay,Steve Lonhart,Kinsey Frick,1,10,5,2,,,26,20-30m,SACLAT,2,10,,,,,algae
144,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,2,,,31,0-10m,MACPYR,6,10,,,,,algae
145,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,2,,,31,0-10m,NERLUE,19,10,,,,,algae
146,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,2,,,31,0-10m,PTECAL,30,5.3,,,,,algae
147,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,2,,,31,10-20m,NERLUE,30,7.3,,,,,algae
148,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,2,,,31,10-20m,PTECAL,30,8.3,,,,,algae
149,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,2,,,31,10-20m,SACLAT,1,10,,,,,algae
150,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,2,,,31,20-30m,MACPYR,3,10,,,,,algae
151,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,2,,,31,20-30m,NERLUE,24,10,,,,,algae
152,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,2,,,31,20-30m,PTECAL,30,6.1,,,,,algae
153,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,2,,,31,20-30m,SACLAT,3,10,,,,,algae
154,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,1,2,,,31,20-30m,DESSPP,1,10,,,,,algae
155,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,0-10m,MACPYR,3,10,,,,,algae
156,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,0-10m,NERLUE,30,8.9,,,,,algae
157,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,0-10m,PTECAL,26,10,,,,,algae
158,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,0-10m,SACLAT,12,10,,,,,algae
159,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,0-10m,DESSPP,3,10,,,,,algae
160,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,10-20m,MACPYR,2,10,,,,,algae
161,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,10-20m,NERLUE,38,10,,,,,algae
162,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,10-20m,PTECAL,9,10,,,,,algae
163,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,10-20m,SACGRO,1,10,,,,,algae
164,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,10-20m,SACLAT,7,10,,,,,algae
165,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,10-20m,DESSPP,5,10,,,,,algae
166,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,20-30m,NERLUE,30,8.3,,,,,algae
167,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,20-30m,PTECAL,8,10,,,,,algae
168,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,20-30m,SACGRO,9,10,,,,,algae
169,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,20-30m,SACLAT,3,10,,,,,algae
170,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,2,2,,,31,20-30m,DESSPP,11,10,,,,,algae
171,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,0-10m,MACPYR,4,10,,,,,algae
172,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,0-10m,NERLUE,24,10,,,,,algae
173,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,0-10m,PTECAL,2,10,,,,,algae
174,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,0-10m,PLEGAR,1,10,,,,,algae
175,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,0-10m,ALAMAR,8,10,,,,,algae
176,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,0-10m,SACGRO,13,10,,,,,algae
177,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,0-10m,SACLAT,1,10,,,,,algae
178,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,0-10m,DESSPP,15,10,,,,,algae
179,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,10-20m,MACPYR,1,10,,,,,algae
180,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,10-20m,NERLUE,9,10,,,,,algae
181,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,10-20m,PTECAL,6,10,,,,,algae
182,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,10-20m,PLEGAR,1,10,,,,,algae
183,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,10-20m,ALAMAR,8,10,,,,,algae
184,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,10-20m,SACGRO,8,10,,,,,algae
185,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,10-20m,SACLAT,4,10,,,,,algae
186,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,10-20m,DESSPP,9,10,,,,,algae
187,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,20-30m,NERLUE,9,10,,,,,algae
188,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,20-30m,PTECAL,8,10,,,,,algae
189,2016,8,12,Neah Bay,Chris Harvey,Greg Williams,1,10,3,2,,,36,20-30m,ALAMAR,1,10,,,,,algae
